id,title,image,description,category,budget,latitude,longitude,youtube_url
19,Pantai Kejawanan,destination_pics/Pantai_Kejawanan.jpg,"Pantai yang berlokasi di Pegambiran, Lemahwungkuk, Kota Cirebon itu menawarkan pengalaman bersantai sekaligus menikmati panorama Gunung Ciremai saat cuaca cerah. Sambil jalan-jalan di tepian pantai, kalian bisa melihat aktivitas para nelayan yang berlayar dan singgah di pelabuhan.",TW,0-20000,-6.73264,108.58563,https://www.youtube.com/watch?v=SaY07DCaMPw
20,Keraton Kasepuhan Cirebon,destination_pics/Keraton_Kasepuhan_Cirebon.jpg,"Tempat wisata ini cocok sekali untuk dikunjungi oleh wisatawan yang menyukai sejarah. Beberapa koleksi yang dapat ditemui di keraton ini termasuk Kereta Singabarong dan lukisan Sri Baduga Maharaja Prabu Siliwangi. Lokasinya ada di Jalan Kasepuhan Nomor 43, Kesepuhan, Lemahwungkuk, Kota Cirebon, Jawa Barat. Obyek wisata ini bisa dikunjungi pukul 08.00 WIB sampai 18.00 WIB.",WR,0-20000,-6.72611,108.57093,https://youtu.be/hGvWebBkHHg
21,Keraton Kacirebonan,destination_pics/Keraton_Kacirebonan.jpg,"Istana kerajaan tahun 1807-an yang menampilkan koleksi artefak bersejarah, dengan tur terpandu. Tak hanya Keraton Kasepuhan, wisatawan juga bisa mampir ke Keraton Kacirebonan yang berlokasi di Jalan Pulasaren, Pekalipan, Kota Cirebon. Meski ukurannya lebih kecil jika dibandingkan dengan Keraton Kasepuhan, peninggalan masa lalu ini tak kalah menarik untuk dieksplorasi. Di sini, wisatawan bisa melihat koin kuno dan sejumlah pedang yang dulunya pernah digunakan oleh penghuni Keraton Kacirebonan.",WR,0-20000,-6.72495,108.56534,https://youtu.be/uJ4UxdBIW28
22,Bangsal Dalem Agung Nyimas Pakungwati,destination_pics/Bangsal_Dalem_Agung_Nyimas_Pakungwati.jpg,bangunan Keraton Dalem Agung Pakungwati yang berdiri pada 1430 dan bergaya arsitektur Majapahit didirikan oleh Pangeran Cakrabuana atau yang lebih dikenal dengan sebutan Mbah Kuwu Cerbon. Pangeran Cakrabuana adalah salah satu keturunan Raja Pajajaran Prabu Siliwangi. Sebutan Pakungwati berasal dari nama Ratu Dewi Pakungwati. Dimana karena rasa cinta dan kasih sayangnya yang mendalam terhadap putri sulungnya mendorong Pangeran Cakrabuana memberikan nama keraton yang pertama di Cirebon ini dengan nama Pakungwati. Lalu Ratu Dewi Pakungwati tersebut menikah dengan Sunan Gunung Jati. Kemudian oleh Sunan Gunung Jati Keraton Dalem Agung Pakungwati dikembangkan untuk mensyiarkan agama Islam di pulau Jawa.,WR,0-20000,-6.72719,108.57187,https://youtu.be/0yYUocWC8EA
23,Goa Sunyaragi,destination_pics/SUNYARAGI.jpeg,"Pada masa lalu tempat ini difungsikan sebagai lokasi mediasi prajurit keraton dan pemuka kerajaan. Selain melihat keindahan goa yang sudah ada dari abad ke-17, pengunjung juga bisa mencoba sejumlah permainan. Permainan tersebut antara lain sepeda gantung, flying fox, dan balon terbang. Dahulu Gua Sunyaragi memiliki nama “Taman Kaputren Panyepi In Raga” memiliki arti tempat menyucikan diri dan jiwa yang berasal dari bahasa kearifan lokal. Nama Sunyaragi berasal dari dua kata yaitu Sunya dan ragi artinya Sunya adalah sunyi dan ragi adalah raga (tempat betapa atau bertawasul).",WR,20000-50000,-6.73656,108.54312,https://youtu.be/08PGLO0DMAw
24,Bukit Gronggong,destination_pics/Bukit_Gronggong.jpg,"Balkon di puncak bukit yang populer dengan panorama malam & restoran outdoor di teras yang dihiasi lentera. Dari Bukit Gronggong, pengunjung bisa melihat indahnya cahaya lampu kota yang seperti bintang. Pengunjung juga tak perlu khawatir merasa kelaparan karena tersedia banyak penjaja makanan dan minuman di sana.",TW,0-20000,-6.78089,108.52173,https://youtu.be/zJ9ELT5Htuk
25,Batu Lawang,destination_pics/BATU_LAWANG.jpg,"Taman yang menawarkan jalur hiking tepi tebing ke panorama luas, tempat piknik dan area panjat tebing. Tempat wisata yang satu ini cukup unik karena punya dinding bebatuan dengan bentuk menyerupai gerbang. Batu Lawang dibuka pada 2016 dan menjadi tempat wisata terkenal di daerah Cirebon. Batu Lawang berlokasi Desa Cupang, Kecamatan Gempol, Kabupaten Cirebon. Berbagai aktivitas bisa dilakukan di tempat ini, mulai dari naik ATV, flying fox, berburu foto keren, hingga panjat tebing.",TW,0-20000,-6.72742,108.38075,https://youtu.be/oHwNlA9h4Kk
26,Taman Kera Plangon,destination_pics/Taman_Kera_Plangon.jpg,"Sesuai dengan namanya Taman Kera Plangon, tempat wisata ini merupakan rumah bagi banyak kera. Meski kera-kera tersebut sering berinteraksi dengan manusia, pengunjung tetap harus berhati-hati karena satwa itu bisa saja menjadi jahil. Selain melihat kera-kera di alam yang indah dan asri, pengunjung juga bisa melihat makam Pangeran Kejaksandan dan Pangeran Panjunan.",TW,0-20000,-6.77333,108.48395,https://youtu.be/6PwVO-zptVg
27,Telaga Nilam,destination_pics/Telaga_Nilam.jpg,"Telaga Nilam terkenal dengan air jernih berwarna hijau kebiruan yang sangat indah. Saking bersih dan jernih airnya, dasar telaga bisa terlihat, termasuk ikan-ikan yang berenang. Pengunjung bisa mencoba berenang atau menyelam di Telaga Nilam.",WA,0-20000,-6.78624,108.41833,https://youtu.be/i2gR5FSaJd4
28,Telaga Remis Pasawahan,destination_pics/Telaga_Remis_Pasawahan.jpg,"Talaga Remis  merupakan salah satu danau alami yang terletak di bawah kaki Gunung Ciremai tepatnya di Desa Kaduela, Dusun Binakarya, Kecamatan Pasawahan, Kabupaten Kuningan. Wisata alam ini sampai sekarang masih terjaga keasriannya mulai dari pepohonannya hingga beberapa talaga atau telaganya. Nama Talaga Remis sendiri diambil dari salah satu binatang air yaitu “Remis” atau Kerang. Karena di danau ini binatang yang satu ini cukup banyak, sehingga dinamakanlah Talaga Remis .",WA,0-20000,-6.78851,108.41626,https://youtu.be/91peHd62qCc
29,Telaga Biru Cicerem,destination_pics/Telaga_Biru_Cicerem.jpg,Telaga Biru Cicerem memiliki keindahan dengan airnya yang bening dan dikelilingi pepohonan hijau. Daya tarik Telaga Biru Cicerem terletak pada warna air telaga yang memiliki gradasi warna antara biru dan hijau tosca.,WA,0-20000,-6.79758,108.42317,https://youtu.be/Zn5y-8M3nDU
30,Ade Irma Suryani Waterland,destination_pics/Ade_Irma_Suryani_Waterland.jpg,"Taman rekreasi air tepi pantai dengan beberapa taman bermain & kolam renang, serta restoran bertema kapal.",WA,20000-50000,-6.71727,108.57326,https://youtu.be/1nWB710Mir8
31,Banyu Panas Palimanan,destination_pics/Banyu_Panas_Palimanan.jpg,"Banyu Panas Palimanan merupakan kolam renang Palimanan yang memiliki ciri khas sebagai kolam terapi air panas alami, yang selalu ramai dikunjungi terutama di akhir pekan. Buah dari ketidaksengajaan PT. Indocement di tahun 2008 yang melakukan pengeboran air bersih. Namun yang muncul malah semburan air panas yang kebiru-biruan.",WA,0-20000,-6.71241,108.39926,https://youtu.be/L2JeDTVbxRk
32,Kampung Sabin Cirebon,destination_pics/Kampung_Sabin_Cirebon.jpg,atraksi wisata menikmati kuliner lezat di pinggir sawah sambil menikmati pemandangan Gunung Ciremai sekaligus hamparan padi yang menghijau. Sementara di malam hari Anda bisa menikmati makan malam romantis bersama orang terdekat serta tak lupa berswafoto dengan background yang Instagramable.,TW,20000-50000,-6.76731,108.45468,https://youtu.be/xNYpBqrJWk4
33,Kampung Batik Trusmi,destination_pics/Kampung_Batik_Trusmi.jpg,"Kurang lengkap rasanya jika Anda melewatkan wisata belanja saat traveling. Jadi jangan lupa untuk singgah ke Kampung Batik Trusmi dan memborong batik mega mendung yang menjadi ciri khasnya. Sentra produksi batik ini sudah ada sejak abad ke-14 dan semakin dikembangkan untuk memajukan sektor pariwisata. Selain berbelanja di pusat grosir Kampung Trusmi Anda juga bisa melihat dari dekat proses pembuatan batik oleh pengrajin bahkan belajar membatik. Untuk mengikuti kelas membatik Anda bisa mendaftar pada Sanggar Katura dan memilih paket kursus yang Anda kehendaki. Ternyata di Kampung Trusmi ini Anda juga berkesempatan untuk berwisata kuliner menikmati aneka hidangan tradisional Cirebon. Ini antara lain empal gentong, nasi jamblang, docan, tahu kuningan, empal asem, dan sego lengko.",TW,50000-100000,-6.70114,108.50842,https://youtu.be/UAw0-vN5bjc
34,Pasar Sandang Tegal Gubug,destination_pics/Pasar_Sandang_Tegal_Gubug.jpg,"pasar yang diklaim sebagai pasar terbesar se-Asia Tenggara itu tak pernah sepi setiap kali beroperasi. Pasar Tegal Gubug hanya dibuka empat hari seminggu, yaitu pada Senin, Selasa, Jumat, dan Sabtu. Pembeli yang datang tak jarang berbelanja dalam jumlah besar.",TW,20000-50000,-6.63588,108.3897,https://youtu.be/X2fRvJUq4fE
35,Danau Setu Patok,destination_pics/Danau_Setu_Patok.jpg,Danau atau waduk Setu Patok terbilang tak pernah sepi pengunjung terutama saat musim liburan mengingat panoramanya yang sangat cantik. Di sini Anda dapat menikmati jernihnya air danau yang terhampar luas berlatar-belakang pemandangan Gunung Ciremai yang asri.,WA,0-20000,-6.78519,108.56496,https://youtu.be/3ohfJbYb9lA
36,Talaga Cikalahang,destination_pics/Talaga_Cikalahang.jpg,Di sini Anda bisa menyalurkan hobi memancing dan selanjutnya meminta restoran di sekitar untuk mengolahnya.,WA,0-20000,-6.78638,108.41435,https://youtu.be/LcaFx17ik94
37,Desa Wisata Bantaragung,destination_pics/Desa_Wisata_Bantaragung.jpg,"Desa Bantaragung ini asalnya bernama Desa Babakan Keboncau. Dikabarkan kalau desa ini sudah ada sejak tahun 1200-an, saat Pangeran Timbang Pinayungan berhasil mengatasi gangguan keamanan desa dan menjadi Kuwu (kepala desa) pertama. Di sinilah awal dari lahirnya juara-juara dunia terutama di bidang pencak silat. Dengan cerita rakyat inilah, Desa Bantaragung menjadi populer serta kekayaan alamnya pun banyak menjadi destinasi wisata.",TW,0-20000,-6.81191,108.3779,https://youtu.be/X2bbd-HQcNI
38,Poolau Air Waterboom - Maskot Ulung Cimara,destination_pics/Poolau_Air_Waterboom_-_Maskot_Ulung_Cimara.jpg,"Poolau Air Waterboom - Maskot Ulung Cimara adalah objek wisata yang terletak di Cimara, Pasawahan, Kabupaten Kuningan, Jawa Barat, Indonesia. Tampak sebuah taman air dengan maskot bernama Ulung Cimara",WA,0-20000,-6.78483,108.44975,https://youtu.be/M5R2dLlxDUo
39,Curug Cigetruk,destination_pics/Curug_Cigetruk.jpg,"Curug Cigetruk adalah air terjun yang terletak di selatan Desa Mandala, Kecamatan Dukuhpuntang, Kabupaten Cirebon, Jawa Barat, Indonesia. Dikenal sebagai air terjun tertinggi di Cirebon. Daerah ini merupakan objek wisata alam dan menjadi populer di kalangan wisatawan",WA,0-20000,-6.79347,108.42687,https://youtu.be/h8CV5DJi56s
40,Wisata Side Land Kaduela,destination_pics/Wisata_Side_Land_Kaduela.jpg,Wisata Side Land Kaedula menawarkan wisata air berupa kolam renang dengan konsep yang unik. Detail pasti dari daya tarik tidak disediakan dalam hasil pencarian.,WA,0-20000,-6.79369,108.42688,https://youtu.be/ndkx3opfjnE
41,Curug Gongseng,destination_pics/Curug_Gongseng.jpg,Area alami yang indah dengan jalan setapak yang rimbun & berhutan menuju air terjun kecil dengan kolam alami.,WA,0-20000,-6.84048,108.44181,https://youtu.be/AQql6ydxwCs
42,Petilasan Mbah Kuwu Sangkan,destination_pics/Petilasan_Mbah_Kuwu_Sangkan.jpg,"Petilasan Mbah Kuwu Sangkan adalah sebuah makam keramat yang terletak di Desa Talun, Kabupaten Cirebon, Jawa Barat, Indonesia. Mbah Kuwu Sangkan dikenal sebagai orang pertama yang membangun pondasi Islam di daerah tersebut. Makam tersebut dianggap keramat atau tempat suci dan banyak dikunjungi orang untuk tujuan ziarah. Makam tersebut memiliki sejarah dan asal muasal yang masih dipelajari dan diteliti.",WR,0-20000,-6.77784,108.49802,https://youtu.be/T0iEd5VH6m8
43,Curug Cipeuteuy,destination_pics/Curug_Cipeuteuy.jpg,"Ini adalah tujuan wisata populer yang terkenal dengan airnya yang berwarna biru dan pemandangan yang indah. Biaya masuknya terjangkau, dan pengunjung dapat menikmati mengambil foto di area tersebut. Air terjun ini dikelilingi oleh hutan yang menambah keindahan alamnya.",WA,0-20000,-6.82373,108.38199,https://youtu.be/Gu4ocqJzixE
44,Hutan Pinus Batu Nyongclo,destination_pics/Hutan_Pinus_Batu_Nyongclo.jpg,"Ini adalah tujuan wisata populer yang terkenal dengan keindahan alam, udara sejuk, dan tempat berkemah. Pengunjung dapat menyewa rumah berbentuk segitiga untuk akomodasi yang dikelola oleh pengelola hutan. Hutan juga dilengkapi dengan prosedur operasi standar untuk era normal baru, seperti penggunaan masker.",TW,0-20000,-6.83321,108.38147,https://youtu.be/05TgjtE7Ifs
45,Cikadongdong River Tubing,destination_pics/Cikadongdong_River_Tubing.jpg,"Cikadongdong River Tubing menawarkan pengalaman arung jeram yang menyenangkan dan mengasyikkan dengan air jernih, bahkan saat musim hujan",WA,20000-50000,-6.82555,108.35891,https://youtu.be/a0zLQrS3xlA
46,Obyek Wisata Alam Prabu Siliwangi,destination_pics/Obyek_Wisata_Alam_Prabu_Siliwangi.jpg,"Objek Wisata Alam Prabu Siliwangi merupakan sebuah petilasan atau tempat keramat yang dipercaya sebagai tempat peristirahatan Prabu Siliwangi, raja legendaris Kerajaan Sunda.",WR,0-20000,-6.82693,108.34197,https://youtu.be/bUQvcrdQ3Ys
47,Wisata Situ Cipanten,destination_pics/Wisata_Situ_Cipanten.jpg,Ini adalah tujuan wisata populer yang terkenal dengan suasananya yang tenang dan aktivitas ramah keluarga.,WA,0-20000,-6.82312,108.32632,https://youtu.be/eBqE3TiA8ZQ
48,Kolam Renang Tirta Indah,destination_pics/Kolam_Renang_Tirta_Indah.jpg,Kolam renang di Jawa Barat,WA,20000-50000,-6.77646,108.38537,https://youtu.be/cZU4b52_7vA
49,Kolam Renang Hegar,destination_pics/Kolam_Renang_Hegar.jpg,"Kolam renang hegar adalah tujuan wisata populer yang terkenal dengan fasilitas kolam renangnya yang bersih dan nyaman. Pengunjung dapat menikmati berenang dan bersantai di lingkungan yang indah dan nyaman. Biaya masuknya terjangkau, dan pengunjung juga dapat memarkir kendaraannya di area tersebut.",WA,0-20000,-6.784,108.40478,https://youtu.be/j7SNQ_ExcxM
50,Taman Raden Benadi Kepuh,destination_pics/Taman_Raden_Benadi_Kepuh.jpg,Taman Raden Benadi Kepuh merupakan destinasi wisata alam baru yang menawarkan pemandangan indah dan menjadi tujuan wisata populer bagi wisatawan yang berkunjung ke Cirebon.,TW,0-20000,-6.73834,108.4267,https://youtu.be/HpxQ29JCb08
51,Tirtamas Gemilang Waterpark,destination_pics/Tirtamas_Gemilang_Waterpark.jpg,"Taman rekreasi air di Arjawinangun, Jawa Barat",WA,20000-50000,-6.65101,108.40774,https://youtu.be/ch0FcAjxzQ4
52,Kolam Renang Putri Borneo,destination_pics/Kolam_Renang_Putri_Borneo.jpg,Kolam renang umum di Jawa Barat,WA,0-20000,-6.68115,108.30128,https://youtu.be/Z6AH7tlm4Ro
53,Taman Nasional Gunung Ciremai,destination_pics/Taman_Nasional_Gunung_Ciremai.jpg,"Taman Nasional Gunung Ciremai atau Taman Nasional Gunung Ciremai adalah cagar biosfer yang terletak di Jawa Barat, Indonesia. Ini mencakup area seluas 155 km2 dan meluas ke Kabupaten Kuningan dan Majalengka di selatan Cirebon. Taman ini mengelilingi Gunung Ceremai, gunung berapi aktif dan puncak tertinggi di Jawa Barat. Taman ini terkenal dengan flora dan faunanya yang unik, beberapa di antaranya endemik atau terancam punah. Taman ini juga merupakan tujuan populer untuk hiking dan trekking, dengan berbagai jalur tersedia bagi pengunjung untuk menjelajahi keindahan alam taman.",TW,100000-200000,-6.90198,108.41521,https://youtu.be/dd4Y1ueycHc
54,Air Terjun Ibun Pelangi,destination_pics/Air_Terjun_Ibun_Pelangi.jpg,Air terjun di jawa barat,TW,0-20000,-6.90556,108.3292,https://youtu.be/Rjk0kn-6xLE
55,Wisata Religi Sangiang,destination_pics/Wisata_Religi_Sangiang.jpg,"Wisata Religi Sangiang merupakan tempat wisata alam yang menawarkan pemandangan danau dan pegunungan yang indah. Hasil penelusuran menunjukkan bahwa Situ Sangiang juga merupakan tempat wisata religi, dengan makam Sunan Parung berada di kawasan tersebut. Pengunjung dapat menikmati keindahan alam daerah tersebut dan juga belajar tentang sejarah agama dan budaya daerah tersebut. Tempat ini buka 24 jam sehari dan merupakan tujuan populer bagi wisatawan",WR,0-20000,-6.9436,108.33962,https://youtu.be/PotBeNhSswQ
56,Bukit Kanaga,destination_pics/bukit_kanaga.jpg,Bukit Kanaga merupakan bukit yang menawarkan pemandangan alam yang indah dan cocok untuk berkemah dan jalan-jalan keluarga. Hasil pencarian menunjukkan bahwa Bukit Kanaga adalah tujuan populer bagi wisatawan. Bukit ini mudah dijangkau dengan kendaraan roda dua maupun roda empat.,TW,0-20000,-6.95376,108.3837,https://youtu.be/3eOFQlVeyBU
57,Lembah Cilengkang,destination_pics/Lembah_Cilengkang.jpg,"Lembah Cilengkang merupakan destinasi wisata alam yang menawarkan pemandangan alam yang indah, antara lain sumber air panas yang mengalir dari perut bumi dan air terjun. Hasil pencarian menunjukkan bahwa Lembah Cilengkang merupakan destinasi populer bagi wisatawan yang tertarik untuk mengeksplorasi wisata alam. Pengunjung dapat menikmati keindahan alam daerah tersebut dan juga bersantai di sumber air panas.",TW,0-20000,-6.93513,108.43809,https://youtu.be/bDPM3G1A2MI
58,Curug Putri Palutungan,destination_pics/Curug_Putri_Palutungan.jpg,"Curug Putri Palutungan merupakan air terjun yang memiliki bentuk unik menyerupai putri dan makhluk mitos. Hasil pencarian menunjukkan bahwa Curug Putri Palutungan merupakan destinasi wisata populer yang terkenal dengan keindahan alamnya. Namun salah satu hasil pencarian menyebutkan Curug Cigetruk yang merupakan air terjun tertinggi di Cirebon, Jawa Barat, Indonesia.",TW,0-20000,-6.94678,108.43294,https://youtu.be/P6K8L9_pXPs
59,Wisata Bukit Panembongan,destination_pics/Wisata_Bukit_Panembongan.jpg,Lokasi pengamatan indah dengan struktur kayu untuk dekorasi foto yang menghadap pemandangan subur.,TW,0-20000,-7.0093,108.51114,https://youtu.be/1w_kbPv6dIs
60,Wisata Alam Curug Bangkong,destination_pics/Wisata_Alam_Curug_Bangkong.jpg,Jalan setapak di hutan akan menuju ke air terjun indah dengan kolam alami yang dapat diarungi oleh pengunjung.,TW,0-20000,-7.00512,108.42488,https://youtu.be/7BJi6dd25rg
61,Waduk Darma Kuningan,destination_pics/Waduk_Darma_Kuningan.jpg,"Waduk Darma Kuningan atau Waduk Darma adalah tujuan wisata populer yang menawarkan pemandangan perbukitan dan pulau-pulau kecil yang indah, dan pengunjung dapat menyewa perahu untuk menjelajahi daerah tersebut dan terkenal dengan keindahan alamnya.",TW,0-20000,-7.01215,108.4088,https://youtu.be/EnwerEHLLmA
62,Cibulan,destination_pics/Cibulan.jpg,Tempat wisata yang terkenal dengan ikan terapi nya,TW,20000-50000,-6.91074,108.4859,https://youtu.be/Rwq3g4O3luE
63,Wisata Air Moncongos,destination_pics/Wisata_Air_Moncongos.jpg,Wisata air dengan berbagai permainan air yang seru,WA,20000-50000,-7.0041,108.54656,https://youtu.be/yHiViQ8cjr8
64,Wisata Bukit Kalban,destination_pics/Wisata_Bukit_Kalban.jpg,Pemandangan alam terbuka untuk menikmati sunrise maupun sunset,TW,0-20000,-6.96745,108.74728,https://youtu.be/2e-928wYZNs
65,Keramat Nyi Mas Gandasari,destination_pics/Keramat_Nyi_Mas_Gandasari.jpg,Keramat Nyi Mas Gandasari merupakan tempat tujuan wisata berupa situs keramat yang dipercaya memiliki kekuatan mistis dan dikaitkan dengan sosok Nyi Mas Gandasari. Hasil pencarian menunjukkan bahwa Keramat Nyi Mas Gandasari merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs mistis dan spiritual.,WR,0-20000,-6.62294,108.45336,https://youtu.be/UhlORaxpOU8
66,Makam Sunan Gunung Jati,destination_pics/Makam_Sunan_Gunung_Jati.jpg,Tempat Ziarah Sunan Gunung Jati,WR,0-20000,-6.67109,108.54015,https://youtu.be/k8nTXrkC6H8
67,Makam Syekh Maulana Dzatul Kahfi,destination_pics/Makam_Syekh_Maulana_Dzatul_Kahfi.jpg,Tempat Ziarah Syekh Maulana Dzatul Kahfi,WR,0-20000,-6.67066,108.54298,https://youtu.be/OFcPQ5MX8Sk
68,Keraton Kanoman,destination_pics/Keraton_Kanoman.jpg,"Keraton Kanoman adalah sebuah istana yang terletak di Cirebon, Jawa Barat, Indonesia. Istana ini didirikan oleh Sultan Anom I pada tahun 1677 dan merupakan tempat tinggal Sultan Anom ke-13 dan keluarganya. Hasil pencarian menunjukkan bahwa Keraton Kanoman merupakan tujuan wisata populer di Cirebon dan dikenal dengan nilai sejarah dan budayanya. Pengunjung dapat menjelajahi keraton dan museumnya untuk belajar tentang sejarah Kesultanan Cirebon dan budaya Jawa.",WR,0-20000,-6.72222,108.56786,https://youtu.be/Z8rAbRtqtX4
69,Gedung British American Tobacco,destination_pics/Gedung_British_American_Tobacco.jpg,"Gedung British American Tobacco adalah sebuah bangunan bersejarah yang terletak di Cirebon, Jawa Barat, Indonesia. Awalnya merupakan pabrik rokok dan sekarang menjadi situs cagar budaya dan tujuan wisata di kota tersebut. Hasil pencarian menunjukkan bahwa Gedung British American Tobacco merupakan destinasi populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk mengeksplorasi situs sejarah dan budaya. Pengunjung dapat belajar tentang sejarah bangunan dan signifikansinya dalam industri tembakau di Indonesia.",TW,0-20000,-6.71884,108.56956,https://youtu.be/4SX1GkjL0I0
70,Ranggon Karanganom,destination_pics/Ranggon_Karanganom.jpg,"Ranggon Karanganom adalah sebuah lokasi di Pegambiran, Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa Ranggon Karanganom dikenal sebagai tempat mancing barramundi dan ikan lainnya.",WA,20000-50000,-6.7405,108.58777,https://youtu.be/6qBchs81m20
71,Muara Mundu,destination_pics/Muara_Mundu.jpg,Muara Mundu merupakan kawasan baru yang dikembangkan yang mencakup proyek perlindungan sungai dan tujuan wisata baru bernama Taman Muara Mundu.,TW,0-20000,-6.75321,108.59601,https://youtu.be/8Cws3X9Qw3A
