"id","place_name","description","category","coordinate","price","rating","range_price"
"247","Makam Pangeran Lobama","Makam Pangeran Lobama tidak disebutkan dalam hasil pencarian yang tersedia. Namun ada yang menyebut Makam Ki Lobama yang terletak di Kecamatan Mundu, Kabupaten Cirebon, Jawa Barat, Indonesia. Ki Lobama adalah murid Syekh Abdul Qoadir Jailani dan berperan penting dalam menyebarkan Islam di wilayah tersebut. Hasil pencarian menunjukkan bahwa Makam Ki Lobama merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs religi dan sejarah. Pengunjung dapat belajar tentang sejarah Ki Lobama dan memberikan penghormatan di situs tersebut.","Wisata Religi","-6.759749341966419, 108.58929461479424","Rp0","4.8","0-20000"
"248","Petilasan Sunan Kalijaga","Petilasan Sunan Kalijaga merupakan situs keramat yang terkait dengan Sunan Kalijaga, salah satu dari sembilan wali atau Wali Songo yang berperan penting dalam penyebaran Islam di tanah Jawa. Ini adalah ruang suci yang dapat menjadi tuan rumah acara keagamaan dan budaya. . Hasil pencarian menunjukkan bahwa Petilasan Sunan Kalijaga merupakan tujuan populer bagi wisatawan yang berkunjung ke Jawa dan mereka yang tertarik untuk menjelajahi situs religi dan sejarah. Pengunjung dapat belajar tentang sejarah Islam di Jawa dan memberikan penghormatan kepada Sunan Kalijaga di situs tersebut","Wisata Religi","-6.747373992757049, 108.55202364547915","Rp10,000","4.6","0-20000"
"249","Wisata Kura-Kura Belawa","Wisata Kura-Kura Belawa adalah destinasi wisata yang terletak di Desa Belawa, Kecamatan Lemahabang, Kabupaten Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa Wisata Kura-Kura Belawa merupakan tempat konservasi penyu dan menjadi tujuan wisata populer bagi wisatawan yang berkunjung ke Cirebon. Pengunjung dapat belajar tentang upaya konservasi spesies penyu Belawa dan mengamati penyu di habitat aslinya. Situs ini juga memiliki museum yang menampilkan spesimen penyu Belawa yang diawetkan","Taman Wisata","-6.831255187208805, 108.58593003013671","Rp8,000","4.2","0-20000"
"250","Pantai Baro Gebang","Pantai Baro Gebang adalah destinasi pantai populer yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa Pantai Baro Gebang sebelumnya digunakan sebagai pelabuhan pada tahun 2003-2004, namun kini menjadi tempat yang populer untuk bersantai dan menikmati lautan. Pantai ini terkenal dengan pemandangannya yang indah, angin laut yang sejuk, dan pemandangan matahari terbenam yang menakjubkan. Pengunjung juga dapat menemukan penjual makanan yang menjual makanan lokal di area tersebut. Hasil pencarian menunjukkan bahwa Pantai Baro Gebang merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Harga tiket masuk ke Pantai Baro Gebang cukup terjangkau, pengunjung cukup membayar Rp1.000 untuk sepeda motor dan Rp3.000 untuk mobil.","Pemancingan","-6.805291352315121, 108.73455473479285","Rp3,000","3.8","0-20000"
"251","Waterpark Kyai Masni","Waterpark Kyai Masni adalah taman air sederhana yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa taman air tersebut memiliki kolam renang, wahana hiburan, dan kebun binatang kecil. Namun, informasi yang tersedia tentang Waterpark Kyai Masni sangat terbatas, dan tidak disebutkan dalam konteks tujuan wisata populer.","Taman Wisata","-6.765281234917807, 108.53279168465755","Rp10,000","4.3","0-20000"
"252","Hutan Kota Sumber","Hutan Kota Sumber adalah taman hutan yang terletak di Kecamatan Sumber, Kabupaten Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa Hutan Kota Sumber merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Taman ini dikenal dengan kehidupan tumbuhannya yang beragam dan dianggap sebagai sumber oksigen dan pengetahuan yang harus dilestarikan. Hasil penelusuran juga menunjukkan bahwa Hutan Kota Sumber telah digunakan sebagai tempat untuk berbagai acara, seperti kegiatan lingkungan dan pertunjukan musik. Namun, ada juga yang menyebut taman ini menjadi tempat populer bagi pasangan untuk berkencan","Taman Wisata","-6.757313890475464, 108.48166604547914","Rp5,000","4.2","0-20000"
"253","Kolam Renang Surga Hati","Kolam renang umum di daerah Cirebon","Wisata Air","-6.750603575346927, 108.51965273643746","Rp17,000","4.0","0-20000"
"254","Ayam Bahagia 71 Hj. Sunarti","Ayam Bahagia 71 Hj. Sunarti adalah restoran yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa restoran tersebut terkenal dengan ayam gorengnya dan merupakan tujuan populer bagi penduduk setempat dan wisatawan yang berkunjung ke Cirebon. Restoran ini terletak di Jalan Bahagia No. 69-71, Lemahwungkuk, Cirebon.","Wisata Kuliner","-6.714637595377921, 108.56627858603166","Rp18,000","4.4","0-20000"
"255","Pedesan Entog Mas Nana","Pedesan Entog Mas Nana terletak di kawasan Megu, Kabupaten Cirebon, rumah makan ini dibuka sejak tahun 2007 dan dikelola sendiri oleh mas Nana, sang pemilik. Dulu, untuk membuka rumah makan pedesan entok ini, sang pemilik hanya bermodalkan Rp 60 ribu, namun karena kerja keras dan kesabarannya, beliau mampu mengembangkan usaha rumah makan miliknya hingga saat ini.","Wisata Kuliner","-6.731047617062817, 108.49790679999998","Rp30,000","4.4","20000-50000"
"256","Pipit Tongseng Battembat","Ripit Tongseng Battembat, İr. H. Juanda merupakan sebuah tempat makan yang berada di Cirebon. Rumah makan ini menyajikan berbagai menu minuman, ayam & bebek & aneka nasi yang dibanderol dengan harga yang murah dan bersahabat dengan kantong Anda. Jika Anda mencari daftar harga menu Ripit Tongseng Battembat, ir. H. Juanda, Anda berada di tempat yang tepat. Di bawah ini akan dibahas secara lengkap menu apa saja yang dijual oleh Pipit Tongseng Battembat, İr. H. Juanda beserta harganya.","Wisata Kuliner","-6.707516711763651, 108.51765813863022","Rp25,000","4.6","20000-50000"
"257","Nasi Ati Ayam Santa Maria","Nasi ati ayam Santa Maria adalah sejenis hidangan nasi yang dihidangkan dengan ati ayam (hati ayam) yang dimasak dengan gaya khas Santa Maria. Santa Maria adalah nama yang mengacu pada metode atau gaya memasak tertentu yang mungkin memiliki ciri khas dan bumbu khusus. Hidangan ini mungkin memiliki cita rasa unik dan berbeda dari nasi ati ayam pada umumnya.","Wisata Kuliner","-6.7136575947273744, 108.56707723555213","Rp20,000","4.6","0-20000"
"258","Seafood H.Moel","Seafood H.Moel adalah sebuah restoran atau warung makan yang menyajikan hidangan laut atau seafood. Nama ""H.Moel"" mungkin merujuk pada pemilik atau pendiri restoran tersebut. Seafood H.Moel mungkin menawarkan beragam hidangan laut seperti ikan, udang, kepiting, cumi-cumi, dan mungkin juga hidangan khas atau resep khusus dari restoran tersebut.","Wisata Kuliner","-6.727782244965733, 108.55030571940729","Rp20,000","4.4","0-20000"
"259","Sate Kalong Drajat Kesambi","Sate Kalong Drajat Kesambi adalah sejenis hidangan sate yang dikenal di daerah Kesambi dan berhubungan dengan warung atau restoran yang bernama Drajat. Hidangan ini mungkin memiliki ciri khas tertentu dalam cara penyajiannya, bumbu, atau jenis daging yang digunakan. ","Wisata Kuliner","-6.729207311396235, 108.56083203739524","Rp20,000","4.3","0-20000"
"260","Docang Pak Kumis","Docang Pak Kumis adalah sejenis hidangan tradisional yang berasal dari daerah Sunda, Indonesia. Docang merupakan salah satu jenis makanan khas Sunda yang terdiri dari sayuran segar yang direbus atau dikukus, seperti kangkung, kacang panjang, tauge, dan daun singkong. Hidangan ini kemudian disajikan dengan tambahan bahan seperti tahu goreng, tempe goreng, dan peuyeum (singkong fermentasi). Pak Kumis mungkin merujuk pada seorang tokoh atau pemilik usaha yang terkenal dengan Docang di daerah tersebut.","Wisata Kuliner","-6.714941450516993, 108.55431456437263","Rp8,000","4.4","0-20000"
"261","Kue Tapel Mba Lena","Kue Tapel Mba Lena adalah sejenis kue tradisional yang dikenal di daerah tertentu yang dijual atau dihasilkan oleh Mba Lena. Kue ini mungkin memiliki ciri khas dan resep khusus yang menjadi daya tariknya. Tapel adalah sejenis makanan tradisional yang terbuat dari tape singkong yang difermentasi. Kue Tapel Mba Lena mungkin merupakan variasi atau inovasi khusus dari kue tapel yang ditawarkan oleh Mba Lena.","Wisata Kuliner","-6.7159489748827035, 108.56024767786305","Rp9,000","5.0","0-20000"
"262","Jumbo Restaurant Cirebon","Restoran ini mungkin dikenal dengan menu atau hidangan khas yang ditawarkannya. Jumbo Restaurant Cirebon kemungkinan menawarkan berbagai macam hidangan, mungkin termasuk hidangan khas daerah Cirebon atau juga hidangan internasional. Restoran ini mungkin juga dikenal dengan pelayanan yang baik dan suasana yang nyaman.","Wisata Kuliner","-6.711732225709914, 108.56130242020086","Rp100,000","4.3","100000-200000"
"263","Rumah Makan Klapa Manis","Rumah Makan Klapa Manis adalah sebuah restoran yang mungkin terletak di suatu tempat tertentu. Restoran ini kemungkinan menawarkan hidangan-hidangan khas yang menggunakan klapa (kelapa) sebagai salah satu bahan utamanya. Nama ""Klapa Manis"" mungkin mengacu pada rasa manis yang dimiliki oleh hidangan-hidangan yang disajikan di restoran ini. Restoran ini mungkin menyajikan hidangan-hidangan tradisional atau mungkin juga menyajikan variasi hidangan modern yang menggunakan klapa sebagai bahan utama.","Wisata Kuliner","-6.779016831127131, 108.5229307355563","Rp200,000","4.3","100000-200000"
"264","Nasi Lengko H.Barno","Nasi Lengko H.Barno adalah sebuah hidangan yang terkenal di daerah tertentu yang disajikan di warung atau kedai makan yang dimiliki oleh H.Barno. Hidangan ini biasanya terdiri dari nasi yang disajikan dengan berbagai bahan seperti tahu, tempe, sayuran, mie, telur, dan bumbu khas. Nasi Lengko H.Barno mungkin memiliki cita rasa khas dan resep yang diwariskan dari generasi ke generasi. Warung atau kedai ini mungkin telah menjadi tempat yang populer bagi penduduk setempat dan wisatawan untuk menikmati hidangan nasi lengko yang lezat dan autentik.","Wisata Kuliner","-6.716076771837743, 108.56056326436779","Rp13,000","4.2","0-20000"
"265","Nasi Jamblang Bu Nur","Nasi Jamblang Bu Nur adalah sebuah hidangan khas yang berasal dari daerah Jamblang, Cirebon. Nasi Jamblang ini biasanya disajikan dengan berbagai macam lauk-pauk tradisional seperti ayam goreng, empal, sambal, dan aneka sayuran. Nama ""Bu Nur"" mungkin merujuk kepada pemilik atau pendiri warung atau kedai yang terkenal dengan hidangan Nasi Jamblang-nya. Warung Nasi Jamblang Bu Nur mungkin menjadi tempat yang populer bagi penduduk setempat dan wisatawan untuk menikmati hidangan nasi dengan cita rasa yang khas dan autentik dari daerah Jamblang.","Wisata Kuliner","-6.714267139745754, 108.55498199323348","Rp20,000","4.4","0-20000"
"266","Empal Gentong H.Apud","Empal Gentong H.Apud adalah sebuah hidangan khas dari daerah Cirebon, Jawa Barat. Empal Gentong merupakan masakan berbahan dasar daging sapi yang dimasak dengan berbagai rempah-rempah dan bumbu khas, kemudian disajikan dengan kuah yang kaya akan rasa dan aroma. H.Apud mungkin merujuk kepada nama pemilik atau pendiri warung atau kedai yang terkenal dengan hidangan Empal Gentong-nya. Warung Empal Gentong H.Apud mungkin telah menjadi tempat yang populer bagi penduduk setempat dan wisatawan untuk menikmati hidangan yang lezat dan autentik dari Cirebon.","Wisata Kuliner","-6.706291170440092, 108.518350591212","Rp22,000","4.1","20000-50000"
"267","Empal Asem Amarta","Empal Asem Amarta adalah sebuah hidangan khas yang terkenal di daerah Amarta, Cirebon. Empal Asem merupakan masakan berbahan dasar daging sapi yang dimasak dengan campuran bumbu-bumbu rempah dan asem-aseman, sehingga memberikan cita rasa yang khas dan segar. Nama ""Amarta"" mungkin merujuk kepada nama tempat atau mungkin pemilik atau pendiri warung atau kedai yang terkenal dengan hidangan Empal Asem-nya. Warung Empal Asem Amarta mungkin telah menjadi destinasi yang populer bagi para pecinta kuliner untuk menikmati hidangan yang lezat dan autentik dari daerah Amarta, Cirebon.","Wisata Kuliner","-6.707556747449836, 108.51737036252743","Rp25,000","4.6","20000-50000"
"268","Empal Dengkil Mang Kojek ","Empal Dengkil Mang Kojek adalah sebuah hidangan yang terkenal di daerah Dengkil yang dikreasikan oleh Mang Kojek. Empal Dengkil merupakan masakan berbahan dasar daging sapi yang dimasak dengan berbagai bumbu dan rempah-rempah, kemudian diolah dengan teknik khusus untuk mencapai tekstur yang empuk dan rasa yang lezat. Mang Kojek mungkin merujuk kepada nama seorang koki atau pemilik warung atau kedai yang terkenal dengan hidangan Empal Dengkil-nya. Warung Empal Dengkil Mang Kojek mungkin telah menjadi tujuan kuliner yang populer bagi penduduk setempat dan pengunjung untuk menikmati hidangan khas yang ditawarkan.","Wisata Kuliner","-6.708772003332567, 108.50561227786697","Rp30,000","4.2","20000-50000"
"269","Bubur Ayam M.Toha","Bubur Ayam M.Toha adalah bubur ayam yang terkenal yang disajikan di tempat yang dikelola oleh M.Toha. Bubur Ayam ini merupakan hidangan yang terdiri dari bubur nasi yang lembut dan disajikan dengan potongan daging ayam, irisan daun bawang, bawang goreng, kerupuk, dan beberapa tambahan lainnya seperti cakwe atau telur. Mungkin M.Toha adalah pemilik atau koki yang memiliki resep khusus untuk bubur ayam ini dan telah membuatnya populer di kalangan masyarakat setempat. Tempat makan Bubur Ayam M.Toha mungkin menjadi tempat favorit bagi pecinta bubur ayam untuk menikmati hidangan lezat yang disajikan.","Wisata Kuliner","-6.704338427384357, 108.55778369027678","Rp7,000","4.6","0-20000"
"270","Mie Colot","Mie Colot adalah sebuah hidangan mie khas yang berasal dari daerah Cirebon, Jawa Barat. Mie Colot terkenal karena tekstur mie yang khas dan bumbu kuahnya yang lezat. Mie ini berbeda dari mie pada umumnya karena mie Colot memiliki tekstur yang lebih kenyal dan tebal. Biasanya mie Colot disajikan dengan kuah yang kental dan gurih, serta ditambahi dengan berbagai bahan pelengkap seperti tauge, irisan daun bawang, emping, dan kerupuk. Keistimewaan Mie Colot juga terletak pada cara penyajiannya. Mie ini biasanya disajikan dengan cara yang unik, yaitu menggunakan batang bambu sebagai wadahnya. Ketika disantap, mie Colot biasanya diaduk dengan bumbu dan bahan pelengkapnya menggunakan tusuk sate atau sumpit, sehingga memberikan pengalaman yang berbeda dan menarik. Mie Colot sangat populer di daerah Cirebon dan menjadi hidangan favorit bagi penduduk setempat maupun wisatawan yang berkunjung. Rasanya yang lezat dan cara penyajiannya yang unik membuat Mie Colot menjadi salah satu kuliner yang patut dicoba jika mengunjungi Cirebon.","Wisata Kuliner","-6.718264927714273, 108.56399032205755","Rp17,000","4.4","0-20000"
"271","Mi Koclok Mang Sam","Mi Koclok Mang Sam adalah hidangan mi khas yang berasal dari daerah Cirebon, Jawa Barat. Mi Koclok terkenal karena kuahnya yang kental dan gurih, serta mie yang lembut dan kenyal. Hidangan ini biasanya terdiri dari mi kuning yang direbus dan disajikan dengan kuah kaldu ayam yang kaya rasa. Yang membedakan Mi Koclok Mang Sam adalah penggunaan bahan tambahan berupa rempah-rempah dan bumbu khas yang digunakan dalam pembuatan kuahnya. Bumbu tersebut memberikan aroma dan cita rasa khas pada mi koclok. Selain itu, hidangan ini juga biasanya dilengkapi dengan irisan daging ayam, taoge (kecambah kacang hijau), serta taburan daun bawang dan bawang goreng sebagai pelengkap. Mi Koclok Mang Sam sangat populer di kalangan masyarakat Cirebon dan sering dijadikan pilihan sebagai hidangan sarapan atau makan siang. Rasanya yang lezat dan tekstur mie yang kenyal membuat Mi Koclok Mang Sam menjadi hidangan yang disukai banyak orang. Jika Anda mengunjungi Cirebon, mencoba Mi Koclok Mang Sam adalah pengalaman kuliner yang tidak boleh dilewatkan.","Wisata Kuliner","-6.719940986005137, 108.5629514855589","Rp18,000","4.3","0-20000"
"272","Serabi Pulasaren ","Serabi Pulasaren adalah makanan tradisional Indonesia yang berasal dari daerah Cirebon, Jawa Barat. Serabi adalah sejenis pancake atau kue dadar yang terbuat dari adonan tepung beras dan santan, yang kemudian dipanggang hingga matang. Serabi Pulasaren memiliki ciri khas adonan yang ringan, tekstur yang lembut, dan cita rasa yang manis. Serabi Pulasaren biasanya disajikan dengan taburan kelapa parut yang telah dicampur dengan gula kelapa sebagai topping. Ada juga varian serabi pulasaren yang ditambahi dengan taburan kacang atau biji wijen untuk memberikan variasi tekstur dan rasa. Makanan ini dapat ditemukan di warung-warung atau penjual kaki lima di daerah Cirebon, dan sering dijadikan sebagai camilan tradisional yang lezat. Serabi Pulasaren menjadi pilihan favorit banyak orang karena kelezatan dan keunikan rasanya. Jika Anda berkunjung ke Cirebon, mencoba Serabi Pulasaren adalah pengalaman kuliner yang harus dicoba.","Wisata Kuliner","-6.724145899319958, 108.56674835090192","Rp1,500","4.5","0-20000"
"273","Tahu Gejrot Kanoman","Tahu Gejrot Kanoman adalah hidangan khas dari daerah Cirebon, Jawa Barat, Indonesia. Hidangan ini terdiri dari tahu goreng yang disajikan dengan saus khas yang pedas dan asam. Tahu Gejrot Kanoman biasanya terdiri dari potongan tahu yang digoreng hingga renyah, kemudian disiram dengan saus berbahan dasar gula merah, air asam, bawang putih, cabai, dan garam. Keunikan Tahu Gejrot Kanoman terletak pada sausnya yang memiliki kombinasi rasa manis, pedas, dan asam yang segar. Hidangan ini biasanya disajikan dengan menggunakan tusuk gigi atau lidi sebagai pengganti sendok atau garpu. Ketika hendak menikmatinya, tahu gejrot biasanya dicelupkan ke dalam saus dengan menggunakan tusuk gigi atau lidi. Tahu Gejrot Kanoman sering dijajakan di warung-warung atau pedagang kaki lima di sekitar Cirebon. Rasanya yang unik dan cita rasanya yang khas menjadikannya sebagai camilan yang populer di kalangan masyarakat setempat maupun wisatawan yang berkunjung ke daerah Cirebon.","Wisata Kuliner","-6.720293907863918, 108.56862126439377","Rp10,000","4.4","0-20000"
"274","Tahu Petis Kertasari ","Tahu Petis Kertasari adalah hidangan tradisional yang berasal dari daerah Kertasari, Cirebon, Jawa Barat, Indonesia. Hidangan ini terdiri dari tahu yang digoreng hingga renyah dan disajikan dengan bumbu petis yang khas. Tahu Petis Kertasari memiliki rasa yang unik dan menggugah selera. Tahu yang digunakan biasanya memiliki tekstur yang kenyal di dalamnya dan renyah di luar. Bumbu petis yang disajikan sebagai pelengkap memberikan rasa gurih, manis, dan sedikit pedas. Bumbu petis ini terbuat dari campuran petis udang, bawang merah, bawang putih, cabai, dan rempah-rempah lainnya. Hidangan ini biasanya disajikan dengan taburan bawang goreng dan ditambahkan irisan mentimun segar sebagai pelengkap. Rasanya yang lezat dan tekstur tahu yang khas membuat Tahu Petis Kertasari menjadi makanan yang populer di Cirebon. Tahu Petis Kertasari dapat ditemukan di warung-warung atau restoran di sekitar daerah Kertasari, Cirebon. Hidangan ini sering dinikmati sebagai makanan ringan atau sebagai lauk pendamping nasi.","Wisata Kuliner","-6.750971701919384, 108.472977119083","Rp10,000","5.0","0-20000"
"275","Es Cuwing Kartini","Es Cuwing Kartini adalah minuman tradisional yang populer di Indonesia, khususnya di daerah Jawa Barat. Minuman ini terbuat dari campuran es serut, sirup manis, dan bahan tambahan lainnya seperti biji selasih, jelly, atau potongan buah-buahan. Es Cuwing Kartini biasanya disajikan dalam gelas besar atau mangkuk besar. Es serut yang digunakan memiliki tekstur yang halus dan lembut. Sirup manis yang dituangkan ke atas es serut memberikan rasa manis dan segar pada minuman ini.","Wisata Kuliner","-6.710491191338987, 108.55691133737616","Rp4,000","4.6","0-20000"
"276","Es Kopyor 4848","Es Kopyor 4848 adalah minuman segar yang populer di Indonesia. Minuman ini terbuat dari daging kelapa muda yang disebut kopyor, ditambah dengan es serut, sirup manis, dan beberapa bahan tambahan lainnya. Proses pembuatan Es Kopyor 4848 dimulai dengan memperoleh daging kelapa muda yang memiliki tekstur lembut dan lezat. Kemudian, daging kelapa muda tersebut diparut dan diambil sarinya, yang dikenal sebagai kopyor. Kopyor memiliki tekstur yang lebih lembut dan kenyal dibandingkan dengan kelapa muda biasa.","Wisata Kuliner","-6.713517386766623, 108.56237435090121","Rp35,000","4.3","20000-50000"
"277","Nasi Jamblang Mang Dul ","Nasi Jamblang Mang Dul adalah sebuah rumah makan yang terkenal dengan hidangan khasnya, yaitu nasi jamblang. Nasi jamblang adalah makanan tradisional dari daerah Cirebon, Jawa Barat, Indonesia. Nasi jamblang biasanya terdiri dari nasi putih yang disajikan dengan berbagai macam lauk-pauk dan sambal. Di Nasi Jamblang Mang Dul, mereka menyajikan nasi jamblang dengan variasi lauk yang beragam. Beberapa lauk yang biasa disajikan di antaranya adalah empal, ayam goreng, ikan goreng, tahu goreng, tempe goreng, dan masih banyak lagi. Setiap lauk disajikan dalam piring kecil dan pengunjung dapat memilih lauk sesuai dengan selera mereka. Yang membedakan nasi jamblang dengan nasi pada umumnya adalah cara penyajiannya. Nasi jamblang biasanya disajikan menggunakan daun jati yang telah dilapisi daun pisang. Pengunjung dapat memilih lauk yang diinginkan dan menempatkannya di atas nasi, kemudian menikmatinya dengan menggunakan tangan.","Wisata Kuliner","-6.645702371730224, 108.54820184576936","Rp30,000","4.3","20000-50000"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
